SNR_dB,LS,L_MMSE,CSIEncoder,CSIFormer,Ideal
0,1.5188,1.4383,1.3584,1.3039,1.2293
3,1.2478,1.1947,1.1299,1.0496,0.99
6,0.9884,0.9547,0.8541,0.8085,0.7597
9,0.7326,0.7154,0.6391,0.5927,0.5468
12,0.4986,0.4883,0.4001,0.3856,0.3509
15,0.2763,0.2729,0.2046,0.1887,0.169
18,0.1002,0.0994,0.0557,0.0557,0.048
21,0.0285,0.028,0.0154,0.0144,0.0111
24,0.0077,0.0075,0.0042,0.0046,0.0032
27,0.0012,0.0012,0.001,0.0006,0.0005
30,0,0,0,0,0
